DATALOGGER N. 11028
              
              
	DATE    	TIME  	T1	T2	T3	T4	DI1	DI2	DI3	DI4	DO1	DO2	POn	T.c          
 54 	16/04/2005	01:30	 1 	-4 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 55 	16/04/2005	02:00	 1,5 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 56 	16/04/2005	02:30	 1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 57 	16/04/2005	03:00	 2 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 58 	16/04/2005	03:30	 0,5 	-1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 59 	16/04/2005	04:00	 1 	-4 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 60 	16/04/2005	04:30	 1 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 61 	16/04/2005	05:00	 1,5 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 62 	16/04/2005	05:30	 2 	-4 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 63 	16/04/2005	06:00	 1 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 64 	16/04/2005	06:30	 0,5 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 65 	16/04/2005	07:00	 1 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 66 	16/04/2005	07:30	 2 	-1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 67 	16/04/2005	08:00	-0,5 	-4 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 68 	16/04/2005	08:30	 2 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 69 	16/04/2005	09:00	 1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 70 	16/04/2005	09:30	 2 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 71 	16/04/2005	10:00	 1,5 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 72 	16/04/2005	10:30	 1 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 73 	16/04/2005	11:00	 1 	-4 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 74 	16/04/2005	11:30	 1,5 	-1,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 75 	16/04/2005	12:00	 2,5 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 76 	16/04/2005	12:30	 0,5 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 77 	16/04/2005	13:00	 1 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 78 	16/04/2005	13:30	 1,5 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 79 	16/04/2005	14:00	 1,5 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 80 	16/04/2005	14:30	 2 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 81 	16/04/2005	15:00	-1,5 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 82 	16/04/2005	15:30	 1 	-1,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 83 	16/04/2005	16:00	 1 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 84 	16/04/2005	16:30	 1,5 	-4 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 85 	16/04/2005	17:00	 1,5 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 86 	16/04/2005	17:30	 2 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 87 	16/04/2005	18:00	 0,5 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 88 	16/04/2005	18:30	 1 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 89 	16/04/2005	19:00	 1 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 90 	16/04/2005	19:30	 1,5 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 91 	16/04/2005	20:00	 1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 92 	16/04/2005	20:30	 2 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 93 	16/04/2005	21:00	 0,5 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 94 	16/04/2005	21:30	 1 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		           
 95 	16/04/2005	22:00	 1 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 96 	16/04/2005	22:30	 1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 97 	16/04/2005	23:00	 1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 98 	16/04/2005	23:30	 2 	-1,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		         
 99 	17/04/2005	00:00	 0,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		       
 100 	17/04/2005	00:30	 1 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 101 	17/04/2005	01:00	 1 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 102 	17/04/2005	01:30	 1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 103 	17/04/2005	02:00	 1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 104 	17/04/2005	02:30	 2 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 105 	17/04/2005	03:00	 0 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 106 	17/04/2005	03:30	 1 	-1,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 107 	17/04/2005	04:00	 1 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 108 	17/04/2005	04:30	 1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 109 	17/04/2005	05:00	 1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 110 	17/04/2005	05:30	 2 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 111 	17/04/2005	06:00	-1 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 112 	17/04/2005	06:30	 1 	-4 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 113 	17/04/2005	07:00	 1 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 114 	17/04/2005	07:30	 1,5 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 115 	17/04/2005	08:00	 1,5 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 116 	17/04/2005	08:30	 2 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 117 	17/04/2005	09:00	-0,5 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 118 	17/04/2005	09:30	 0,5 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 119 	17/04/2005	10:00	 1 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 120 	17/04/2005	10:30	 1 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 121 	17/04/2005	11:00	 1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 122 	17/04/2005	11:30	 1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 123 	17/04/2005	12:00	 2 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 124 	17/04/2005	12:30	 0,5 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 125 	17/04/2005	13:00	 1 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 126 	17/04/2005	13:30	 1 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 127 	17/04/2005	14:00	 1,5 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 128 	17/04/2005	14:30	 1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 129 	17/04/2005	15:00	 2 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 130 	17/04/2005	15:30	-0,5 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 131 	17/04/2005	16:00	 1 	-4 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 132 	17/04/2005	16:30	 1 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 133 	17/04/2005	17:00	 1,5 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 134 	17/04/2005	17:30	 1,5 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 135 	17/04/2005	18:00	 2 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 136 	17/04/2005	18:30	-0,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 137 	17/04/2005	19:00	 0,5 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 138 	17/04/2005	19:30	 1 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 139 	17/04/2005	20:00	 1,5 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 140 	17/04/2005	20:30	 1,5 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 141 	17/04/2005	21:00	 1,5 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 142 	17/04/2005	21:30	 2 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 143 	17/04/2005	22:00	 0,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 144 	17/04/2005	22:30	 1 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 145 	17/04/2005	23:00	 1 	-4 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 146 	17/04/2005	23:30	 1,5 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 147 	18/04/2005	00:00	 1,5 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 148 	18/04/2005	00:30	 2 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 149 	18/04/2005	01:00	-1,5 	-4 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 150 	18/04/2005	01:30	 1 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 151 	18/04/2005	02:00	 1 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 152 	18/04/2005	02:30	 1,5 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 153 	18/04/2005	03:00	 1,5 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 154 	18/04/2005	03:30	 1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 155 	18/04/2005	04:00	 2 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 156 	18/04/2005	04:30	 0 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 157 	18/04/2005	05:00	 1 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 158 	18/04/2005	05:30	 1 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 159 	18/04/2005	06:00	 1,5 	-4 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 160 	18/04/2005	06:30	 1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 161 	18/04/2005	07:00	 2 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 162 	18/04/2005	07:30	 0,5 	-4 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 163 	18/04/2005	08:00	 1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 164 	18/04/2005	08:30	 2,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 165 	18/04/2005	09:00	-1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 166 	18/04/2005	09:30	 1,5 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 167 	18/04/2005	10:00	 2 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 168 	18/04/2005	10:30	 1,5 	 5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 169 	18/04/2005	11:00	 1 	 3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 170 	18/04/2005	11:30	 2 	 4,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 171 	18/04/2005	12:00	 2 	 4,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 172 	18/04/2005	12:30	 1 	 2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 173 	18/04/2005	13:00	 2 	 1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 174 	18/04/2005	13:30	 1 	 1,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 175 	18/04/2005	14:00	 0,5 	 0 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 176 	18/04/2005	14:30	 1,5 	-1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 177 	18/04/2005	15:00	 4 	 3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 178 	18/04/2005	15:30	-0,5 	-1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 179 	18/04/2005	16:00	 2 	 0 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 180 	18/04/2005	16:30	 1,5 	 3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 181 	18/04/2005	17:00	 1,5 	-1,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 182 	18/04/2005	17:30	 2 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 183 	18/04/2005	18:00	-1 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 184 	18/04/2005	18:30	 1,5 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 185 	18/04/2005	19:00	 2 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 186 	18/04/2005	19:30	 0 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 187 	18/04/2005	20:00	 1 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 188 	18/04/2005	20:30	 1,5 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 189 	18/04/2005	21:00	 2,5 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 190 	18/04/2005	21:30	-0,5 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 191 	18/04/2005	22:00	 1,5 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 192 	18/04/2005	22:30	 1,5 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 193 	18/04/2005	23:00	 2,5 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 194 	18/04/2005	23:30	 0 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 195 	19/04/2005	00:00	 1,5 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 196 	19/04/2005	00:30	 1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 197 	19/04/2005	01:00	 2 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 198 	19/04/2005	01:30	-1 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 199 	19/04/2005	02:00	 1 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 200 	19/04/2005	02:30	 1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 201 	19/04/2005	03:00	 1,5 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 202 	19/04/2005	03:30	 2 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 203 	19/04/2005	04:00	 0,5 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 204 	19/04/2005	04:30	 1,5 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 205 	19/04/2005	05:00	 1,5 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 206 	19/04/2005	05:30	 2 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 207 	19/04/2005	06:00	 1 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 208 	19/04/2005	06:30	 1 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 209 	19/04/2005	07:00	 1,5 	-0,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 210 	19/04/2005	07:30	 1,5 	-0,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 211 	19/04/2005	08:00	 2 	 0 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 212 	19/04/2005	08:30	 0,5 	 0 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 213 	19/04/2005	09:00	 1 	 0,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 214 	19/04/2005	09:30	 2,5 	 0,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 215 	19/04/2005	10:00	 1 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 216 	19/04/2005	10:30	 0,5 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 217 	19/04/2005	11:00	 1 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 218 	19/04/2005	11:30	 1,5 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 219 	19/04/2005	12:00	 1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 220 	19/04/2005	12:30	 2 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 221 	19/04/2005	13:00	 0,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 222 	19/04/2005	13:30	 1 	-2 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 223 	19/04/2005	14:00	 1,5 	-1,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 224 	19/04/2005	14:30	 2,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 225 	19/04/2005	15:00	 1 	-3,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 226 	19/04/2005	15:30	 1,5 	-2,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 227 	19/04/2005	16:00	 1,5 	-1 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 228 	19/04/2005	16:30	 2 	-4 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 229 	19/04/2005	17:00	 2,5 	-3 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 230 	19/04/2005	17:30	-1 	-1,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 231 	19/04/2005	18:00	 1,5 	-0,5 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		      
 232 	19/04/2005	18:30	 2 	 0 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 233 	19/04/2005	19:00	-0,5 	 0 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
 234 	19/04/2005	19:30	 1 	 0 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		          
 235 	19/04/2005	20:00	 1,5 	 0 		  -  	  -  	 Off	 Off	  - 	  - 	 Off	  - 		        
